buscador	B1
buscar	A2
butaca	B2
butacas	C1
buzoneo	B2
buzón	B1
báltico	B1
bárbaro	C2
básica	B2
básicamente	B2
básico	B2
básicos	B2
bóveda	C2
cabal	C2
cabalgar	C1
caballero	C1
caballo	A2
cabaña	C1
cabecera	C2
cabello	C1
caber	B1
cabeza	A2
cabezazo	C2
cabida	C2
cabina	A2
cable	B2
cabo	B2
cacharro	B2
cachorro	C1
caco	C2
cacofonía	C2
cada	B2
cadena	B1
cadenas	C1
cadencia	C2
cadera	C1
caduca	C1
caducado	C1
caducar	C1
caducidad	C1
caduco	C2
cadáver	B2
caer	B1
caerse	B1
cafetera	B1
cafetería	A2
café	A1
caja	A2
cajero	A2
cala	C2
calabacín	B1
calado	C2
calar	C2
calcar	C2
calcetines	A2
calcinar	C2
calcular	B2
caldeado	C2
caldear	C2
calefacción	A1
calendario	B1
calentar	B1
calentarse	C1
calibrar	C2
calibre	C2
calidad	B2
caliente	A1
calificación	C1
calificar	C1
callado	B1
calle	A1
callejero	B1
callejón	C1
calmante	B2
calor	A1
calorías	B1
calumnia	C1
calurosamente	B2
caluroso	B2
calvicie	C2
calvo	B2
calzada	C2
calzador	B2
calzar	B1
calzoncillo	A2
cama	A1
camada	C1
camaleónico	C2
camarada	C2
camaradería	C2
camarero	A1
camarote	C1
cambiante	C1
cambiar	A1
cambiarse	A2
cambio	A2
camilla	B2
camillero	C1
caminar	A2
camino	B1
camioneta	C1
camisa	A1
camisón	B2
camión	B1
campal	C2
campaña	B2
campeonato	B2
campesino	B2
campestre	C1
campin	A1
camping	B1
campo	A1
campus	B1
camuflar	C2
cana	B2
canal	B1
cancelar	B1
canción	A2
candente	C2
candidato	B2
canguro	B1
canina	C2
canje	C2
canjear	C2
canoa	C1
canon	C2
canoso	C1
cansada	C2
cansado	C2
cansancio	B2
cansarse	B1
cantante	A1
cantar	C2
cantidad	B1
cantimplora	C1
cantina	C2
cantinela	C2
canturrear	C2
capa	B2
capacidad	B2
capacitado	C1
capacitar	C1
capataz	C2
capaz	B2
capilar	C2
capilla	C1
capital	A1
capitalizar	C2
capitel	C2
capitán	B1
capricornio	B2
captar	C2
captura	C1
capturar	C1
capítulo	B1
cara	C1
carabela	C2
caracol	C1
caracteres	C2
caracterizarse	B2
característica	B2
característico	B2
caramelo	B2
caravana	B1
carbón	B2
cardenal	C1
cardinal	C2
carecer	C1
carencia	C1
carga	B2
cargamento	C2
cargante	C2
cargar	B2
cargarse	C2
cargo	B2
carguero	C2
caricaturista	C2
cariño	B2
cariñosamente	C1
carne	A1
carnicero	A2
carnicería	A2
carnosos	C1
carné	A1
carnívora	B2
carnívoro	C1
